id_praga,praga_nome_cientifico
189,Colletotrichum gloeosporioides
190,Puccinia horiana
191,Alternaria alternata
192,Cerotelium fici
193,Uromyces transversalis
194,Puccinia psidii
195,Oidium mangiferae
196,Cladosporium herbarum
197,Colletotrichum orbiculare
198,Didymella bryoniae
199,Sphaerotheca fuliginea
200,Cercospora zeae-maydis
201,Puccinia polysora
202,Puccinia sorghi
203,Mycosphaerella fragariae
204,Leandria momordicae
205,Monilinia fructicola
206,Tranzschelia discolor
207,Diplocarpon rosae
208,Claviceps africana
209,Septoria lycopersici
210,Blumeria graminis f.sp. tritici
211,Puccinia graminis
212,Phakopsora euvitis
213,Uncinula necator
214,Melampsora medusae
215,Meloidogyne incognita
216,Lyriomyza huidobrensis
217,Leucoptera coffeella
218,Oligonychus ilicis
219,Helicotylenchus dihystera
220,Pratylenchus zeae
221,Brevipalpus phoenicis
222,Panonychus citri
223,Phyllocnistis citrella
224,Polyphagotarsonemus latus
225,Tetranychus urticae
226,Mononychellus planki
227,Liriomyza trifolii
228,Tuta absoluta
229,Hemileia  vastatrix
230,Drechslera teres
231,Diaporthe helianthi
232,Puccinia helianthi
233,Phaeosphaeria maydis
234,Corynespora cassiicola
235,Septoria tritici
236,Heliothis virescens
237,Crysodeixis includens
238,Spodoptera eridania
239,Alabama argillacea
240,Tetranychus ludeni
241,Ditylenchus dipsaci
242,Phthorimaea operculella
243,Phyllocoptruta oleivora
244,Eriophyes guerreronis
245,Azochis gripusalis
246,Pinnaspis aspidistrae
247,Panonychus ulmi
248,Steneotarsonemus pallidus
249,Aculops lycopersici
250,Liriomyza huidobrensis
251,Lyriomyza sativae
252,Heterodera glycines
253,Anticarsia gemmatalis
254,Ascia monuste orseis
255,Brassolis sophorae
256,Diaphania nitidalis
257,Helicoverpa sp.
258,Plutella xylostella
259,Achyrocline satureioides
260,Phoma arachidicola
261,Sphaceloma arachidis
262,Phytophthora infestans
263,Cercospora carotae
264,Elsinoe fawcetti
265,Pseudoperonospora cubensis
266,Phoma exigua
267,Stemphylium solani
268,Botrytis cinerea
269,Peronospora sparsa
270,Peronospora manshurica
271,Stagonospora nodorum
272,Elsinoe ampelina
273,Plasmopara viticola
274,Ramularia areola
275,Pyricularia oryzae
276,Phoma exigua var. exigua
277,Peronospora destructor
278,Asperisporium caricae
279,Venturia inaequalis
280,Phakopsora pachyrhizi
281,Aonidiella comperei
282,Empoasca spp.
283,Anastrepha fraterculus
284,Grapholita molesta
285,Sitobion avenae
286,Raoiella indica
287,Eutetranychus banksi
288,Ipomoea nil
289,Chrysodeixis includens
290,Caliothrips brasiliensis
291,Empoasca kraemeri
292,Stegasta bosquella
293,Orthezia praelonga
294,Parlatoria pergandii
295,Selenaspidus articulatus
296,Chalcodermus bimaculatus
297,Hedylepta indicata
298,Caliothrips phaseoli
299,Frankliniella rodeos
300,Nezara viridula
301,Trichoplusia ni
302,Helicoverpa zea
303,Tetranychus evansi
304,Thrips palmi
305,Thrips tabaci
306,Eutinobothrus brasiliensis
307,Epinotia aporema
308,Piezodorus guildinii
309,Elasmopalpus lignosellus
310,Pseudoplusia includens
311,Sternechus subsignatus
312,Brevicoryne brassicae
313,Diaphorina citri
314,Glycaspis brimblecombei
315,Bemisia tabaci biótipo B
316,Rachiplusia nu
317,Hedypathes betulinus
318,Luziola peruviana
